"Date/Time","Lat","Lon","Base"
"8/1/2014 0:03:00",40.7366,-73.9906,"B02512"
"8/1/2014 0:09:00",40.726,-73.9918,"B02512"
"8/1/2014 0:12:00",40.7209,-74.0507,"B02512"
"8/1/2014 0:12:00",40.7387,-73.9856,"B02512"
"8/1/2014 0:12:00",40.7323,-74.0077,"B02512"
"8/1/2014 0:13:00",40.7349,-74.0033,"B02512"
"8/1/2014 0:15:00",40.7279,-73.9542,"B02512"
"8/1/2014 0:17:00",40.721,-73.9937,"B02512"
"8/1/2014 0:19:00",40.7195,-74.006,"B02512"
"8/1/2014 0:20:00",40.7448,-73.9799,"B02512"
"8/1/2014 0:21:00",40.7399,-74.0057,"B02512"
"8/1/2014 0:25:00",40.7651,-73.9683,"B02512"
"8/1/2014 0:27:00",40.7354,-74.0081,"B02512"
"8/1/2014 0:29:00",40.7339,-74.0028,"B02512"
"8/1/2014 0:29:00",40.7364,-74.0301,"B02512"
"8/1/2014 0:29:00",40.7364,-74.0301,"B02512"
"8/1/2014 0:30:00",40.7252,-73.9516,"B02512"
"8/1/2014 0:30:00",40.7433,-73.986,"B02512"
"8/1/2014 0:34:00",40.7437,-73.9884,"B02512"
"8/1/2014 0:36:00",40.7406,-74.0077,"B02512"
"8/1/2014 0:48:00",40.7421,-74.0002,"B02512"
"8/1/2014 0:52:00",40.7394,-74.0069,"B02512"
"8/1/2014 0:53:00",40.7153,-73.9666,"B02512"
"8/1/2014 0:54:00",40.6888,-73.9853,"B02512"
"8/1/2014 0:54:00",40.7194,-74.0428,"B02512"
"8/1/2014 0:55:00",40.7562,-73.9714,"B02512"
"8/1/2014 0:58:00",40.7601,-73.9839,"B02512"
"8/1/2014 1:01:00",40.7585,-73.9732,"B02512"
"8/1/2014 1:08:00",40.7711,-73.9832,"B02512"
"8/1/2014 1:09:00",40.7133,-74.0092,"B02512"
"8/1/2014 1:11:00",40.7222,-73.9588,"B02512"
"8/1/2014 1:19:00",40.7399,-74.0024,"B02512"
"8/1/2014 1:22:00",40.6545,-74.0017,"B02512"
"8/1/2014 1:22:00",40.6879,-74.1812,"B02512"
"8/1/2014 1:30:00",40.7151,-74.0077,"B02512"
"8/1/2014 1:33:00",40.7405,-73.989,"B02512"
"8/1/2014 1:41:00",40.7639,-73.9743,"B02512"
"8/1/2014 1:43:00",40.7416,-74.0039,"B02512"
"8/1/2014 1:44:00",40.6878,-74.1821,"B02512"
"8/1/2014 1:44:00",40.6878,-74.1821,"B02512"
"8/1/2014 1:49:00",40.71,-74.0055,"B02512"
"8/1/2014 1:49:00",40.7132,-73.9585,"B02512"
"8/1/2014 2:11:00",40.6949,-74.1779,"B02512"
"8/1/2014 2:11:00",40.7616,-73.9843,"B02512"
"8/1/2014 2:25:00",40.7555,-73.9838,"B02512"
"8/1/2014 2:30:00",40.7137,-73.9961,"B02512"
"8/1/2014 2:48:00",40.7547,-73.9686,"B02512"
"8/1/2014 2:53:00",40.7581,-73.9996,"B02512"
"8/1/2014 2:56:00",40.7214,-73.9938,"B02512"
"8/1/2014 2:59:00",40.7211,-73.9878,"B02512"
"8/1/2014 3:03:00",40.7563,-73.9923,"B02512"
"8/1/2014 3:05:00",40.7372,-74.0022,"B02512"
"8/1/2014 3:14:00",40.7672,-73.9668,"B02512"
"8/1/2014 3:26:00",40.7208,-73.9974,"B02512"
"8/1/2014 3:28:00",40.7436,-73.9943,"B02512"
"8/1/2014 3:28:00",40.7418,-74.0054,"B02512"
"8/1/2014 3:33:00",40.7259,-73.9835,"B02512"
"8/1/2014 3:36:00",40.7511,-73.9823,"B02512"
"8/1/2014 3:39:00",40.7647,-73.9586,"B02512"
"8/1/2014 3:43:00",40.7589,-73.9941,"B02512"
"8/1/2014 3:53:00",40.7184,-73.9872,"B02512"
"8/1/2014 3:55:00",40.7138,-73.9943,"B02512"
"8/1/2014 3:57:00",40.7778,-73.9796,"B02512"
"8/1/2014 4:03:00",40.7944,-73.9662,"B02512"
"8/1/2014 4:06:00",40.7643,-73.9958,"B02512"
"8/1/2014 4:12:00",40.8072,-73.9674,"B02512"
"8/1/2014 4:16:00",40.7748,-73.991,"B02512"
"8/1/2014 4:16:00",40.7621,-73.9719,"B02512"
"8/1/2014 4:19:00",40.7822,-73.9598,"B02512"
"8/1/2014 4:21:00",40.7564,-73.9682,"B02512"
"8/1/2014 4:23:00",40.7348,-74.0004,"B02512"
"8/1/2014 4:27:00",40.7733,-73.9667,"B02512"
"8/1/2014 4:30:00",40.7577,-73.9746,"B02512"
"8/1/2014 4:33:00",40.7284,-74.0558,"B02512"
"8/1/2014 4:43:00",40.7595,-73.962,"B02512"
"8/1/2014 4:46:00",40.6469,-73.7904,"B02512"
"8/1/2014 5:00:00",40.6488,-73.783,"B02512"
"8/1/2014 5:04:00",40.6449,-73.7821,"B02512"
"8/1/2014 5:10:00",40.7422,-73.9918,"B02512"
"8/1/2014 5:13:00",40.7661,-73.9465,"B02512"
"8/1/2014 5:14:00",40.6795,-73.9761,"B02512"
"8/1/2014 5:20:00",40.787,-73.9693,"B02512"
"8/1/2014 5:24:00",40.6443,-73.7821,"B02512"
"8/1/2014 5:30:00",40.7172,-74.0016,"B02512"
"8/1/2014 5:31:00",40.7448,-73.9337,"B02512"
"8/1/2014 5:32:00",40.7255,-74.0054,"B02512"
"8/1/2014 5:32:00",40.7211,-74.0043,"B02512"
"8/1/2014 5:34:00",40.7206,-73.9954,"B02512"
"8/1/2014 5:38:00",40.7408,-73.9896,"B02512"
"8/1/2014 5:38:00",40.7408,-73.9896,"B02512"
"8/1/2014 5:42:00",40.7371,-74.0019,"B02512"
"8/1/2014 5:49:00",40.6833,-73.9817,"B02512"
"8/1/2014 5:50:00",40.767,-73.971,"B02512"
"8/1/2014 5:51:00",40.7136,-74.0085,"B02512"
"8/1/2014 5:52:00",40.7515,-74.0033,"B02512"
"8/1/2014 5:52:00",40.7677,-73.9928,"B02512"
"8/1/2014 5:55:00",40.7442,-73.9744,"B02512"
"8/1/2014 5:58:00",40.7424,-73.9974,"B02512"
"8/1/2014 6:02:00",40.7244,-73.9787,"B02512"
"8/1/2014 6:04:00",40.7638,-73.9639,"B02512"
"8/1/2014 6:04:00",40.7566,-73.9654,"B02512"
"8/1/2014 6:07:00",40.7276,-73.9959,"B02512"
"8/1/2014 6:08:00",40.7442,-74.0077,"B02512"
"8/1/2014 6:09:00",40.7247,-74.0005,"B02512"
"8/1/2014 6:09:00",40.7247,-73.9836,"B02512"
"8/1/2014 6:10:00",40.7404,-74.0037,"B02512"
"8/1/2014 6:10:00",40.7792,-73.9468,"B02512"
"8/1/2014 6:13:00",40.7309,-74.0052,"B02512"
"8/1/2014 6:13:00",40.7614,-73.9622,"B02512"
"8/1/2014 6:14:00",40.7561,-73.9703,"B02512"
"8/1/2014 6:14:00",40.6935,-73.98,"B02512"
"8/1/2014 6:15:00",40.7447,-73.9891,"B02512"
"8/1/2014 6:20:00",40.7054,-74.0075,"B02512"
"8/1/2014 6:24:00",40.7695,-73.9575,"B02512"
"8/1/2014 6:24:00",40.6754,-73.872,"B02512"
"8/1/2014 6:29:00",40.7659,-73.9167,"B02512"
"8/1/2014 6:29:00",40.7448,-73.9947,"B02512"
"8/1/2014 6:29:00",40.7241,-73.9784,"B02512"
"8/1/2014 6:31:00",40.6691,-73.9422,"B02512"
"8/1/2014 6:32:00",40.7234,-74.0096,"B02512"
